J1043981	238572825899	2074241	36	0	1		2074241	244	25	SMALL	2	0	72	C30
J1043982	238572825892	2074241	38	0	0		2074241	244	25	SMALL	1	0	38	C1
J1043983	238572825918	2074241	25	0	5		2074241	244	25	SMALL	6	0	150	C30
J1043984	238572757259	2074242	2787	0	0		2074242	245	25	ACCEPT	1	0	2787	C1
J1043985	238572772047	2074243	3746	0	0		2074243	246	25	ACCEPT	1	0	3746	C1
J1043986	238572825965	2074243	101	0	0		2074243	246	25	ACCEPT	1	0	101	C1
J1043987	238572828311	2074250	90	0	9		2074250	253	25	ACCEPT	10	0	900	C30
J1043988	238572828636	2074265	5	0	0		2074265	268	25	SMALL	1	0	5	C1
J1043989	238572669846	2074267	267	0	110		2074267	270	25	ACCEPT	111	0	29637	C120
J1043990	238572845188	2074279	99	0	7		2074279	282	25	ACCEPT	8	0	792	C30
J1043991	238572843135	2074283	159	0	0		2074283	286	25	ACCEPT	1	0	159	C1
J1043992	238572709501	2074290	597	0	251		2074290	293	25	ACCEPT	252	0	150444	C5000
J1043993	238572841975	2074295	3570	0	210		2074295	298	25	ACCEPT	211	0	753270	C5000
J1043994	238572858813	2074296	134	0	44		2074296	299	25	ACCEPT	45	0	6030	C120
J1043995	238572838991	2074300	567	0	0		2074300	303	25	ACCEPT	1	0	567	C1
J1043996	238572838996	2074300	470	0	497		2074300	303	25	ACCEPT	498	0	234060	C5000
J1043997	238572855269	2074301	612	0	0		2074301	304	25	ACCEPT	1	0	612	C1
J1043998	238572834982	2074301	17	0	0		2074301	304	25	SMALL	1	0	17	C1
J1043999	238572836074	2074301	19	0	0		2074301	304	25	SMALL	1	0	19	C1
J1044000	238572840266	2074302	672	0	2		2074302	305	25	ACCEPT	3	0	2016	C30
J1044001	238572843133	2074302	315	0	0		2074302	305	25	ACCEPT	1	0	315	C1
J1044002	238572827075	2074302	572	0	0		2074302	305	25	ACCEPT	1	0	572	C1
J1044003	238572839495	2074306	530	0	1		2074306	309	25	ACCEPT	2	0	1060	C30
J1044004	238572840282	2074306	58	0	0		2074306	309	25	SMALL	1	0	58	C1
J1044005	238572860564	2074307	5	0	0		2074307	310	25	SMALL	1	0	5	C1
J1044006	238572860566	2074312	6	0	0		2074312	315	25	SMALL	1	0	6	C1
J1044007	238572712683	2074312	350	0	165		2074312	315	25	ACCEPT	166	0	58100	C5000
J1044008	238572861071	2074316	368	0	175		2074316	319	25	ACCEPT	176	0	64768	C5000
J1044009	238572862715	2074322	6	0	0		2074322	325	25	SMALL	1	0	6	C1
J1044010	238572868232	2074331	4	0	1		2074331	334	25	SMALL	2	0	8	C30
J1044011	238572868532	2074337	145	0	22		2074337	340	25	ACCEPT	23	0	3335	C30
J1044012	238572868390	2074340	22	0	0		2074340	343	25	SMALL	1	0	22	C1
J1044013	238572713507	2074341	414	0	200		2074341	344	25	ACCEPT	201	0	83214	C5000
J1044014	238572715091	2074341	265	0	175		2074341	344	25	ACCEPT	176	0	46640	C5000
J1044015	238572871614	2074349	75	0	0		2074349	352	25	ACCEPT	1	0	75	C1
J1044016	238572878959	2074354	247	0	175		2074354	357	25	ACCEPT	176	0	43472	C5000
J1044017	238572878957	2074360	24	0	0		2074360	363	25	SMALL	1	0	24	C1
J1044018	238572862721	2074360	515	0	1		2074360	363	25	ACCEPT	2	0	1030	C30
J1044019	238572862718	2074360	547	0	0		2074360	363	25	ACCEPT	1	0	547	C1
J1044020	238572871834	2074361	10	0	0		2074361	364	25	SMALL	1	0	10	C1
J1044021	238572862724	2074361	487	0	497		2074361	364	25	ACCEPT	498	0	242526	C5000
J1044022	238572864682	2074361	247	0	0		2074361	364	25	ACCEPT	1	0	247	C1
J1044023	238572871655	2074362	520	0	0		2074362	365	25	ACCEPT	1	0	520	C1
J1044024	238572871681	2074362	507	0	0		2074362	365	25	ACCEPT	1	0	507	C1
